file	licence	version	author	source	size	title
cat-bench.jpg	cc0	1.0	Gerda Arendt	https://commons.wikimedia.org/w/index.php?curid=186635097	2400x1799	Larnaca Salt Lake, Cyprus, colourful cat on bench
lane-bench.jpg	by	3.0	F.Higer	https://commons.wikimedia.org/w/index.php?curid=23478247	2400x1604	Kakopetria 04
bench-close.jpg	by	3.0	F.Higer	https://commons.wikimedia.org/w/index.php?curid=23478243	1604x2400	Kakopetria 03
